,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
1200,Honor 4C ,White,8999,4.1,13199,2,8,12.7,13,5MP,2550,Kirin 620 ,Honor
1201,Honor Bee 2 ,White,4299,3.9,916,1,8,11.43,5,2MP,2100,Cortex-A53 ,Honor
1202,Honor 8 Smart ,Black,8430,4.1,542,2,16,13.21,13,8MP,3000,ARM Kirin 650 64-bit ARM A53 Octa Core 2GHz ,Honor
1203,Honor Holly 4 Plus ,Silver,7000,4.1,217,3,32,13.97,12,8MP,4000,,Honor
1204,Honor 5X ,Gold,12999,4.1,19094,2,16,13.97,13,5MP,3000,0 QualcommÂ Snapdragon 616 MSM8939V2 Octa Core 1.5GHz ,Honor
1205,Honor 5X ,Silver,12999,4.1,19094,2,16,13.97,13,5MP,3000,Qualcomm Snapdragon 616 MSM8939V2 ,Honor
1206,Honor 5X ,Grey,12999,4.1,19094,2,16,13.97,13,5MP,3000,Qualcomm Snapdragon 616 MSM8939V2 ,Honor
1207,Honor 9N ,Egg Blue,12500,4.4,230,3,32,14.83,13,16MP,3000,Kirin 659 Octa Core ,Honor
1208,Honor 8,,30000,4.4,2862,4,32,13.21,12,8MP,3000,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz ,Honor
1209,Honor 9N ,Purple,12500,4.4,230,3,32,14.83,13,16MP,3000,Kirin 659 Octa Core ,Honor
1210,Honor 7X ,Gold,14000,4.3,2519,4,32,15.06,16,8MP,3340,Kirin 659 ,Honor
1211,Honor 6 ,Black,14999,4.3,6566,3,16,12.7,13,5MP,3000,Kirin 920 ,Honor
1212,Honor 7 ,Mystery Grey,22999,4.4,2403,3,16,13.21,20,8MP,3100,Hisilicon Kirin 935 ,Honor
1213,Honor 6X ,Silver,13999,4.3,10168,4,64,13.97,12,8MP,3340,Kirin 655 ,Honor
1214,Honor 4C ,Gold,9499,4.1,13199,2,8,12.7,13,5MP,2550,Kirin 620 ,Honor
1215,Honor Holly 4 ,Grey,6539,4,438,3,32,12.7,13,5MP,3020,4*Cortex-A53 1.4GHz + 4*Cortex-A53 1.1GHz Android 7.0 + EMUI 5.1 ,Honor
1216,Honor View 10 ,Midnight Black,36000,4.5,20,6,128,15.21,20,,3750,,Honor
1217,Honor 8 Smart ,White,6999,4.1,542,2,16,13.21,13,8MP,3000,Kirin 650 64-bit ARM A53 ,Honor
1218,POCO X2 ,Atlantis Blue,17499,4.5,218,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1219,POCO X2 ,Matrix Purple,17499,4.5,218,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1220,POCO X2 ,Phoenix Red,17499,4.5,218,6,128,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1221,POCO X2 ,Atlantis Blue,16499,4.5,218,6,64,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1222,POCO X2 ,Matrix Purple,16499,4.5,218,6,64,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1223,POCO X2 ,Phoenix Red,16499,4.5,218,6,64,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1224,POCO X2 ,Atlantis Blue,21499,4.5,57001,8,256,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1225,POCO X2 ,Matrix Purple,21499,4.5,57001,8,256,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
1226,POCO X2 ,Phoenix Red,21499,4.5,57001,8,256,16.94,64,20MP,4500,Qualcomm Snapdragon 730G ,POCO
